,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
0,4,5,sep,mon,91.7,26.2,709.9,5.1,17.4,51,6.7,0.0,0
1,4,4,mar,fri,90.6,35.4,57.3,6.7,13.7,33,0.9,0.0,0
2,3,4,mar,fri,90.6,43.7,77.5,6.7,18.8,33,1.3,0.0,0
3,3,4,sep,sun,91.7,33.3,704.4,9.0,22.8,42,4.0,0.0,0
4,3,4,sep,mon,89.3,51.3,724.3,9.6,18.9,42,1.8,0.0,0
5,3,4,mar,tue,92.3,85.3,67.6,14.7,15.8,29,5.4,0.0,0
6,3,5,mar,tue,92.3,88.9,67.6,8.5,15.5,27,3.1,0.0,0
7,3,4,mar,sat,91.5,145.4,80.8,10.7,11.6,42,2.2,0.0,0
8,3,4,mar,sat,91.0,129.5,80.8,7.0,15.2,63,5.4,0.0,0
9,3,4,mar,mon,92.5,88.0,86.6,7.1,10.6,40,4.0,0.0,0
10,3,4,aug,thu,92.5,88.0,466.6,7.1,19.6,51,7.2,0.0,0
11,3,4,aug,mon,92.8,73.2,608.2,8.4,10.3,38,4.0,0.0,0
12,3,4,aug,mon,91.6,70.8,608.2,0.8,17.1,72,6.7,0.0,0
13,3,4,sep,sun,90.9,126.5,680.7,7.0,22.5,42,2.2,0.0,0
14,3,4,sep,tue,92.9,133.3,671.9,9.2,17.9,21,4.5,0.0,0
15,3,4,sep,fri,93.3,141.2,692.3,13.9,19.8,44,5.4,0.0,0
16,3,4,oct,sun,91.7,35.8,691.8,7.8,20.6,27,5.4,0.0,0
17,3,5,mar,mon,91.6,32.8,103.8,3.0,9.0,47,4.9,0.0,0
18,3,5,sep,fri,89.2,27.9,728.6,6.3,17.2,35,4.0,0.0,0
19,3,5,oct,wed,91.7,27.4,673.8,5.1,15.9,44,4.5,0.0,0
20,2,5,oct,sun,91.0,129.5,691.8,7.0,15.4,40,2.7,0.0,0
21,4,6,feb,sat,91.8,78.5,87.2,9.2,15.4,38,2.7,0.0,0
22,4,6,mar,mon,94.3,96.3,64.7,8.4,14.0,44,4.5,0.0,0
23,4,6,mar,sun,90.2,110.9,102.2,6.2,10.6,43,5.8,0.0,0
24,4,6,sep,thu,93.5,139.4,685.2,8.4,17.6,32,5.8,0.0,0
25,3,5,mar,tue,91.4,142.4,67.6,10.6,14.9,60,5.4,0.0,0
26,3,5,aug,sat,92.4,117.9,594.2,12.2,17.6,34,5.8,0.0,0
27,3,6,sep,sun,90.9,126.5,680.7,7.0,17.2,48,1.3,0.0,0
28,3,6,sep,mon,93.4,145.4,686.5,8.1,15.6,24,2.7,0.0,0
29,9,9,jul,tue,93.5,149.3,313.4,8.1,18.0,39,3.6,0.0,1
30,1,4,sep,tue,94.3,85.1,692.6,15.9,21.7,24,3.6,0.0,1
31,2,5,sep,mon,88.6,91.8,686.5,7.1,21.9,78,7.6,0.0,1
32,1,2,aug,wed,88.6,69.7,513.3,5.8,23.3,37,1.8,0.0,1
33,8,6,aug,fri,91.7,75.6,529.8,7.8,21.2,39,3.6,0.0,1
34,1,2,jul,sat,91.8,78.5,296.3,9.2,16.6,32,2.7,0.0,1
35,2,5,aug,wed,90.3,80.7,513.3,6.3,23.8,62,4.5,0.0,1
36,6,5,aug,thu,90.6,35.4,578.8,6.7,27.4,24,4.5,0.0,1
37,5,4,mar,mon,90.0,41.5,86.6,8.7,13.2,60,5.4,0.0,1
38,8,3,sep,tue,90.6,43.7,671.9,6.7,24.2,27,4.0,0.0,1
39,2,2,aug,tue,88.1,25.7,647.1,3.8,17.4,43,2.7,0.0,1
40,8,6,sep,thu,91.6,60.6,685.2,1.5,23.7,37,3.1,0.0,1
41,6,5,jun,fri,90.2,96.9,433.3,8.9,23.2,42,6.7,0.0,1
42,9,9,jul,sun,94.8,108.3,355.2,17.0,24.8,54,5.4,0.0,1
43,3,4,jul,sat,92.5,88.0,424.1,7.1,24.6,48,2.7,0.0,1
44,5,4,sep,fri,90.1,82.9,692.3,6.2,20.1,74,4.9,0.0,1
45,1,5,sep,sat,94.3,85.1,721.4,15.9,29.6,24,4.0,0.0,1
46,7,4,aug,sun,90.9,126.5,647.1,7.0,16.4,70,3.6,0.0,1
47,2,4,sep,sat,94.2,62.3,721.4,11.0,28.6,36,3.1,0.0,1
48,2,2,aug,wed,87.2,23.9,654.1,4.1,18.4,35,1.8,0.0,1
49,2,4,aug,wed,87.6,52.2,654.1,5.0,20.5,46,5.8,0.0,1
50,7,4,sep,fri,92.9,137.0,668.0,9.2,19.0,17,1.3,0.0,1
51,7,4,mar,mon,90.2,99.6,86.6,6.3,16.1,34,2.2,0.0,1
52,6,4,aug,thu,92.1,111.2,578.8,9.6,20.3,42,4.9,0.0,1
53,6,3,mar,sat,92.1,111.2,100.4,9.6,15.2,42,4.9,0.0,1
54,8,6,sep,sat,91.7,114.3,674.4,6.3,17.8,45,3.6,0.0,1
55,8,5,sep,sun,92.9,137.0,704.4,9.2,17.8,24,2.2,0.0,1
56,6,5,mar,thu,90.3,80.7,55.0,6.3,5.3,63,4.9,0.0,1
57,6,5,aug,wed,92.6,46.5,654.1,8.8,16.6,50,2.7,0.0,1
58,6,5,aug,wed,91.6,9.3,570.5,2.1,23.4,40,5.4,0.0,1
59,6,5,mar,fri,86.6,13.2,97.8,5.3,14.6,51,0.9,0.0,1
60,8,6,aug,thu,89.3,51.3,578.8,9.6,20.7,39,5.8,0.0,1
61,5,4,sep,wed,89.3,51.3,699.6,9.6,21.9,59,6.3,0.0,1
62,8,6,aug,wed,93.0,75.3,609.6,7.7,17.4,35,4.9,0.0,1
63,7,4,aug,sun,90.2,99.6,601.4,6.3,20.1,33,2.7,0.0,1
64,4,4,sep,mon,91.1,103.2,686.5,5.8,17.7,31,3.1,0.0,1
65,1,4,aug,sat,91.7,114.3,624.2,6.3,14.2,44,4.5,0.0,1
66,1,4,aug,sat,92.4,117.9,624.2,12.2,20.3,37,4.5,0.0,1
67,6,5,apr,thu,92.4,117.9,55.2,12.2,5.8,33,5.4,0.0,1
68,2,5,aug,sun,92.4,117.9,631.2,12.2,19.2,33,6.3,0.0,1
69,2,5,sep,wed,91.7,33.3,735.7,9.0,18.3,26,4.5,0.0,1
70,8,6,aug,tue,91.2,48.3,614.5,12.5,14.4,27,7.6,0.0,1
71,1,3,sep,sun,94.3,85.1,680.7,15.9,23.9,37,3.6,0.0,1
72,8,6,oct,mon,91.7,33.3,664.2,9.0,19.1,25,6.3,0.0,1
73,5,4,feb,sun,88.8,147.3,48.3,9.0,12.4,43,4.5,0.0,1
74,7,4,oct,mon,93.3,141.2,696.1,13.9,16.8,30,1.3,0.0,1
75,8,6,aug,fri,91.6,6.8,586.7,7.7,20.8,79,3.1,0.0,1
76,2,5,sep,tue,86.6,13.2,692.6,5.3,17.6,43,3.1,0.0,1
77,8,6,mar,sun,87.6,52.2,102.2,5.0,11.5,72,3.1,0.0,1
78,1,5,sep,mon,90.1,108.0,686.5,12.5,21.0,66,2.7,0.0,1
79,6,4,mar,sat,91.0,121.2,89.4,7.0,13.3,19,6.7,0.0,1
80,7,4,mar,sun,91.4,142.4,92.4,10.6,11.5,39,6.3,0.0,1
81,6,5,mar,fri,90.2,99.6,97.8,6.3,11.7,44,2.2,0.0,1
82,2,5,aug,thu,94.8,108.3,578.8,17.0,24.2,51,4.5,0.0,1
83,2,2,aug,tue,92.1,111.2,647.1,9.6,24.6,47,0.9,0.0,1
84,4,5,sep,wed,91.7,114.3,699.6,6.3,24.3,45,3.6,0.0,1
85,2,2,aug,tue,92.9,137.0,647.1,9.2,24.6,15,0.9,0.0,1
86,2,5,aug,fri,92.9,137.0,586.7,9.2,23.5,27,2.2,0.0,1
87,6,5,apr,thu,92.9,137.0,55.2,9.2,5.8,34,2.2,0.0,1
88,4,5,sep,thu,93.5,149.3,706.4,8.1,21.5,36,3.6,0.0,1
89,3,4,sep,tue,91.7,35.8,692.6,7.8,13.9,25,4.9,0.0,1
90,2,4,sep,mon,90.2,96.9,665.3,8.9,22.6,59,5.8,0.0,1
91,1,5,sep,tue,91.7,35.8,692.6,7.8,21.6,24,5.4,0.0,1
92,6,5,mar,sun,92.3,85.3,83.7,14.7,12.4,32,6.3,0.0,1
93,7,4,feb,sun,91.4,142.4,32.1,10.6,8.8,43,4.9,0.0,1
94,8,6,oct,wed,91.1,103.2,673.8,5.8,20.2,22,2.7,0.0,1
95,5,6,mar,sat,89.7,90.0,100.4,4.8,15.1,64,1.3,0.0,1
96,4,5,sep,thu,91.6,8.0,706.4,2.6,22.1,48,1.8,0.0,1
97,2,2,aug,sat,91.6,2.4,594.2,0.7,22.9,24,5.4,0.0,1
98,7,5,sep,tue,91.4,142.4,692.6,10.6,20.7,42,4.5,0.0,1
99,6,5,sep,fri,91.4,142.4,668.0,10.6,19.6,39,5.4,0.0,1
100,8,3,sep,thu,91.4,142.4,685.2,10.6,23.2,39,5.4,0.0,1
101,4,4,oct,sat,88.8,147.3,686.9,9.0,18.4,66,5.4,0.0,1
102,7,4,aug,sat,94.8,108.3,594.2,17.0,5.1,40,4.0,0.0,1
103,7,4,sep,fri,92.5,121.1,692.3,8.6,20.1,29,4.5,0.0,1
104,7,3,mar,mon,91.6,3.7,103.8,2.9,11.0,78,3.1,0.0,1
105,4,4,mar,sat,91.6,19.5,80.8,2.8,17.0,52,6.3,0.0,1
106,4,4,mar,sat,91.4,30.7,80.8,7.5,17.0,29,3.1,0.0,1
107,4,4,sep,sun,90.2,99.6,680.7,6.3,16.9,33,3.1,0.0,1
108,1,3,sep,mon,92.5,88.0,709.9,7.1,12.4,45,3.1,0.0,1
109,4,5,sep,wed,88.6,91.8,699.6,7.1,19.4,56,5.4,0.0,1
110,6,5,mar,mon,91.6,19.5,86.6,2.8,15.2,43,5.8,0.0,1
111,8,6,aug,sun,91.7,33.3,631.2,9.0,16.2,18,4.5,0.0,1
112,3,4,sep,fri,89.7,90.0,713.9,4.8,18.6,39,3.6,0.0,1
113,4,3,mar,mon,91.8,78.5,103.8,9.2,11.0,35,2.7,0.0,1
114,2,2,jul,fri,88.1,25.7,309.9,3.8,13.4,27,7.6,0.0,1
115,7,4,sep,wed,88.1,25.7,735.7,3.8,15.4,27,6.3,0.0,1
116,4,4,sep,sun,91.7,35.8,728.6,7.8,22.9,30,6.3,0.0,1
117,7,5,oct,mon,91.7,35.8,696.1,7.8,16.1,27,4.9,0.0,1
118,8,6,aug,sat,90.1,39.7,480.8,6.2,20.1,30,4.0,0.0,1
119,4,6,sep,sun,93.0,75.3,728.6,7.7,28.3,36,3.1,0.0,1
120,8,6,aug,sat,91.5,145.4,480.8,10.7,16.4,74,2.2,0.0,1
121,4,4,sep,wed,91.5,145.4,699.6,10.7,26.4,43,5.4,0.0,1
122,1,5,sep,sun,92.4,124.1,728.6,8.5,27.8,42,5.4,0.0,1
123,6,4,sep,tue,91.6,73.4,692.6,3.2,18.7,45,3.1,0.0,1
124,9,4,sep,tue,94.3,85.1,671.9,15.9,24.3,50,5.4,0.0,1
125,4,5,sep,sat,92.6,46.5,674.4,8.8,17.7,24,5.4,0.0,1
126,8,6,aug,sun,87.6,52.2,601.4,5.0,19.6,49,2.2,0.0,1
127,2,2,sep,sat,93.5,149.3,674.4,8.1,18.2,43,3.1,0.0,1
128,1,2,sep,tue,91.4,37.9,692.6,5.2,18.8,46,3.6,0.0,1
129,6,5,sep,sat,92.6,46.5,674.4,8.8,25.1,35,0.9,0.0,1
130,7,5,apr,sun,91.6,21.5,7.9,0.8,13.4,40,2.7,0.0,0
131,6,3,apr,wed,87.2,23.9,43.5,4.1,15.2,39,3.1,0.0,0
132,4,4,apr,fri,89.3,51.3,85.3,9.6,16.7,46,4.9,0.0,0
133,2,4,aug,sun,93.7,80.9,589.9,8.4,15.4,42,3.1,0.0,1
134,7,4,aug,sun,88.1,25.7,700.7,3.8,21.9,38,2.7,1.0,0
135,2,4,aug,sun,93.5,139.4,700.7,8.4,22.4,52,5.8,0.0,1
136,3,4,aug,sun,92.4,124.1,700.7,8.5,26.8,58,1.3,0.0,1
137,5,4,aug,sun,90.9,126.5,700.7,7.0,25.7,66,3.1,0.0,1
138,2,4,aug,wed,91.6,48.3,503.6,3.9,20.7,42,2.7,0.0,1
139,8,6,aug,wed,91.0,129.5,666.7,7.0,28.7,38,2.2,0.0,0
140,3,4,aug,wed,90.9,126.5,666.7,7.0,21.7,39,1.8,0.0,1
141,8,5,aug,wed,95.5,99.9,666.7,13.2,26.8,31,4.5,0.0,1
142,8,5,aug,wed,90.1,108.0,666.7,12.5,24.0,51,4.0,0.0,1
143,6,5,aug,wed,90.0,51.3,666.7,8.7,22.1,53,5.4,0.0,1
144,7,4,aug,thu,95.5,99.9,565.5,13.2,21.4,32,5.4,0.0,1
145,6,3,aug,thu,95.2,131.7,621.7,10.4,18.9,22,4.0,0.0,1
146,2,5,aug,thu,90.1,39.7,694.8,6.2,22.3,40,5.4,0.0,0
147,8,6,aug,sat,91.6,73.4,581.1,3.2,23.9,28,3.6,0.0,1
148,4,3,aug,sat,94.8,108.3,581.1,17.0,21.4,43,6.7,0.0,1
149,3,4,aug,sat,93.7,80.9,692.3,8.4,20.6,25,4.5,0.0,0
150,7,4,aug,sat,92.5,56.4,692.3,7.1,23.7,39,5.4,0.0,1
151,2,4,aug,mon,90.1,68.6,542.0,7.2,28.3,29,2.2,0.0,1
152,3,4,aug,fri,90.1,51.2,573.0,6.2,11.2,43,1.8,0.0,1
153,2,4,aug,fri,94.3,85.1,573.0,15.9,21.4,47,4.9,0.0,1
154,6,3,aug,fri,93.4,145.4,629.1,8.1,19.3,27,2.7,0.0,1
155,4,4,aug,fri,94.8,108.3,684.4,17.0,21.8,47,1.3,0.0,1
156,4,4,aug,tue,93.4,145.4,550.3,8.1,22.1,27,2.2,0.0,1
157,6,5,aug,tue,92.1,111.2,607.1,9.6,19.4,45,3.6,0.0,1
158,2,2,aug,tue,92.1,111.2,658.2,9.6,23.7,35,4.0,0.0,0
159,3,4,aug,tue,92.4,117.9,658.2,12.2,21.0,34,5.8,0.0,0
160,4,4,aug,tue,90.1,39.7,658.2,6.2,19.1,29,3.1,0.0,1
161,2,2,aug,tue,95.2,131.7,658.2,10.4,21.8,41,4.0,0.0,1
162,8,6,aug,tue,90.6,50.1,658.2,7.8,20.1,31,4.0,0.0,1
163,2,5,aug,tue,92.5,121.1,658.2,8.6,20.2,56,1.8,0.0,1
164,4,6,dec,sun,89.7,90.0,353.5,4.8,4.8,67,2.2,0.0,1
165,8,6,dec,wed,91.6,18.2,354.6,3.0,5.1,70,4.5,0.0,1
166,4,6,dec,thu,92.1,111.2,352.0,9.6,5.1,47,0.9,0.0,1
167,4,4,dec,mon,96.0,127.1,349.7,16.5,4.6,33,4.5,0.0,1
168,3,4,dec,mon,91.2,48.3,349.7,12.5,4.6,26,4.0,0.0,1
169,4,4,dec,mon,95.2,131.7,349.7,10.4,4.6,45,2.2,0.0,1
170,4,4,dec,mon,92.9,133.3,349.7,9.2,4.6,35,1.8,0.0,1
171,4,6,dec,fri,91.6,90.4,352.6,6.6,2.2,50,4.0,0.0,1
172,6,5,dec,tue,91.4,142.4,349.7,10.6,5.1,39,5.4,0.0,1
173,6,3,feb,sun,90.9,126.5,353.5,7.0,4.2,39,2.2,0.0,0
174,3,4,feb,wed,90.2,96.9,18.7,8.9,8.8,53,1.8,0.0,1
175,5,4,feb,fri,90.2,96.9,15.8,8.9,7.5,39,4.9,0.0,1
176,2,5,jul,sun,91.6,9.1,411.8,2.7,23.4,54,5.8,0.0,0
177,7,6,jul,wed,90.2,99.6,437.7,6.3,12.6,44,2.7,0.2,0
178,7,4,jul,sat,90.1,82.9,474.9,6.2,22.1,45,2.2,0.0,0
179,7,4,jul,sat,88.8,147.3,474.9,9.0,24.2,66,5.4,0.0,0
180,7,4,jul,sat,92.4,124.1,474.9,8.5,24.3,32,6.7,0.0,0
181,2,5,jul,sat,91.6,32.8,474.9,3.0,18.7,32,4.0,0.0,0
182,9,4,jul,sat,86.8,15.6,474.9,3.9,25.3,53,2.2,0.0,1
183,4,5,jul,fri,91.7,48.5,466.3,11.1,22.9,45,4.5,0.0,1
184,7,6,jul,tue,93.9,135.7,430.8,15.1,26.9,34,4.9,0.0,1
185,8,6,jul,tue,91.0,129.5,440.9,7.0,17.1,46,3.1,0.0,1
186,7,5,jun,sun,89.3,51.3,430.8,9.6,22.2,39,5.8,0.0,0
187,6,4,jun,sun,90.9,126.5,290.8,7.0,14.3,42,2.2,0.0,1
188,8,6,jun,sun,90.8,41.9,290.8,7.9,15.4,42,0.9,0.0,0
189,8,6,jun,wed,90.7,44.0,377.2,5.5,19.6,60,4.0,0.0,0
190,6,5,jun,sat,91.2,48.3,233.8,12.5,10.6,33,4.0,0.0,0
191,6,5,jun,mon,95.2,131.7,298.1,10.4,20.7,28,2.7,0.0,0
192,6,5,jun,mon,94.8,108.3,298.1,17.0,19.1,22,4.5,0.0,1
193,3,6,jun,fri,92.9,133.3,232.1,9.2,19.2,25,4.0,0.0,0
194,3,6,jun,fri,94.8,108.3,232.1,17.0,19.2,22,4.5,0.0,0
195,6,5,may,sat,93.9,135.7,113.8,15.1,11.3,36,5.4,0.0,0
196,1,4,sep,sun,91.6,9.1,714.3,2.7,19.0,54,5.8,0.0,0
197,7,4,sep,sun,92.9,137.0,714.3,9.2,17.1,15,0.9,0.0,1
198,3,4,sep,sun,91.0,129.5,714.3,7.0,23.8,59,6.3,0.0,1
199,2,4,sep,sun,91.6,70.8,758.1,0.8,16.0,38,3.6,0.0,0
200,2,4,sep,sun,91.0,129.5,758.1,7.0,24.9,33,2.2,0.0,0
201,7,4,sep,sun,90.1,37.6,758.1,7.2,25.3,54,3.6,0.0,0
202,6,3,sep,sun,91.6,8.7,758.1,2.1,24.8,68,2.2,0.0,1
203,2,4,sep,sun,91.4,37.9,706.6,5.2,12.2,37,2.7,0.0,0
204,6,5,sep,wed,90.6,50.1,777.1,7.8,24.3,64,4.0,0.0,0
